City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Mataura,-46.1927,168.8643,70.48,46,86,5.21,NZ,1647664491
Ribeira,42.7461,-8.4439,51.73,85,0,3.44,ES,1647664491
Albany,42.6001,-73.9662,50.72,78,100,2.1,US,1647664249
Auki,-8.7676,160.7034,83.62,74,92,4.14,SB,1647664491
Nanlong,31.3533,106.0631,75.85,57,100,8.41,CN,1647664492
Mahébourg,-20.4081,57.7,81.25,94,40,3.44,MU,1647664492
Nanortalik,60.1432,-45.2371,16.23,81,90,5.21,GL,1647664492
Westport,41.1415,-73.3579,55.31,96,100,5.99,US,1647664493
Vardø,70.3705,31.1107,32.95,75,48,29.35,NO,1647664493
Qaqortoq,60.7167,-46.0333,7.9,87,96,5.75,GL,1647664493
Trelew,-43.249,-65.3051,51.21,51,0,5.28,AR,1647664493
Kaya,13.0917,-1.0844,80.78,18,11,6.17,BF,1647664494
Vaini,-21.2,-175.2,81.12,79,100,26.26,TO,1647664495
Port,-7.0349,29.7638,69.87,77,72,4.74,CD,1647664495
Rikitea,-23.1203,-134.9692,80.37,73,28,9.4,PF,1647664495
Busselton,-33.65,115.3333,66.65,57,100,15.79,AU,1647664495
El Puerto de Santa María,36.5939,-6.233,53.26,88,20,6.91,ES,1647664495
Hobart,-42.8794,147.3294,72.23,56,20,11.5,AU,1647664334
Jiuquan,39.7432,98.5174,46.74,27,100,5.66,CN,1647664487
Chui,-33.6971,-53.4616,59.16,78,100,13.71,UY,1647664496
Punta,8.9897,125.34,87.49,62,100,7.34,PH,1647664496
Arrondissement de Vannes,47.8333,-2.5,45.21,68,41,15.05,FR,1647664497
Northam,51.0333,-4.2167,47.25,74,0,20.62,GB,1647664497
Barrow,71.2906,-156.7887,-14.78,76,0,9.22,US,1647664497
Lebu,-37.6167,-73.65,54.88,75,100,13.22,CL,1647664497
Pisco,-13.7,-76.2167,68.05,83,0,11.5,PE,1647664498
Kayerkan,69.3497,87.7602,23.52,100,100,11.12,RU,1647664498
Tapah,4.2004,101.2598,87.71,60,43,5.1,MY,1647664498
Longyearbyen,78.2186,15.6401,28.24,64,20,10.36,SJ,1647664498
Kongolo,-5.3833,27.0,65.55,91,50,2.26,CD,1647664499
Bluff,-46.6,168.3333,70.81,72,27,15.9,NZ,1647664499
Butaritari,3.0707,172.7902,81.45,79,19,20.47,KI,1647664499
Macaé,-22.3708,-41.7869,74.95,100,0,4.61,BR,1647664453
Qaanaaq,77.484,-69.3632,-9.65,90,100,6.17,GL,1647664500
Dikson,73.5069,80.5464,16.77,89,63,21.65,RU,1647664500
Ancud,-41.8697,-73.8203,49.23,81,100,4.85,CL,1647664500
El Puerto de Santa María,36.5939,-6.233,53.26,88,20,6.91,ES,1647664501
Castro,-24.7911,-50.0119,65.07,94,95,3.4,BR,1647664501
Bethel,41.3712,-73.414,57.02,85,0,9.22,US,1647664501
Kavaratti,10.5669,72.642,83.73,65,95,7.65,IN,1647664501
Cidreira,-30.1811,-50.2056,74.28,89,100,12.86,BR,1647664502
Saint-Philippe,-21.3585,55.7679,84.22,82,38,3.6,RE,1647664502
Berlevåg,70.8578,29.0864,31.69,76,59,25.7,NO,1647664502
Souillac,-20.5167,57.5167,79.18,94,40,3.44,MU,1647664503
Wanaka,-44.7,169.15,68.11,48,93,3.0,NZ,1647664503
Atuona,-9.8,-139.0333,78.75,77,8,16.26,PF,1647664503
Ust'-Omchug,61.15,149.6333,16.38,78,99,7.83,RU,1647664503
Ossora,59.2353,163.0719,27.64,92,77,8.41,RU,1647664504
Nikolskoye,59.7035,30.7861,36.88,88,68,3.56,RU,1647664504
Obuasi,6.206,-1.6619,73.76,99,99,2.15,GH,1647664504
Aden,12.7794,45.0367,78.76,66,8,8.23,YE,1647664411
Jacutinga,-22.2856,-46.6122,66.15,90,45,3.51,BR,1647664505
Rizhao,35.4275,119.4553,41.41,48,100,19.86,CN,1647664290
Gondanglegi,-7.7479,112.0132,88.07,67,100,5.59,ID,1647664506
Hilo,19.7297,-155.09,73.26,93,100,1.01,US,1647664506
San,13.3034,-4.8956,79.9,15,15,9.17,ML,1647664506
Mórrope,-6.5417,-80.0111,72.05,75,14,11.95,PE,1647664507
Ushuaia,-54.8,-68.3,35.26,69,20,8.05,AR,1647664507
Lüderitz,-26.6481,15.1594,70.09,70,9,6.71,NA,1647664508
Sanandij,35.3144,46.9923,28.42,69,40,0.0,IR,1647664508
Muborak,39.2553,65.1528,43.54,48,5,7.92,UZ,1647664508
San,13.3034,-4.8956,79.9,15,15,9.17,ML,1647664506
Lewistown,40.5992,-77.5714,63.88,88,75,4.61,US,1647664508
Chokurdakh,70.6333,147.9167,-4.56,92,29,5.79,RU,1647664509
Fortuna,40.5982,-124.1573,48.65,92,0,6.91,US,1647664509
Jamestown,42.097,-79.2353,56.84,59,100,8.05,US,1647664509
Kysyl-Syr,63.8986,122.7617,13.6,79,90,8.88,RU,1647664509
Krasnyy,54.5678,31.4333,16.92,93,9,3.76,RU,1647664510
Tasiilaq,65.6145,-37.6368,19.56,88,72,6.38,GL,1647664510
Tabuk,17.4189,121.4443,85.05,69,88,2.51,PH,1647664511
Paramonga,-10.6667,-77.8333,69.91,86,50,7.0,PE,1647664511
Opunake,-39.4556,173.8583,65.62,63,100,6.6,NZ,1647664511
Kapaa,22.0752,-159.319,80.58,70,0,14.97,US,1647664511
Upernavik,72.7868,-56.1549,-15.63,77,99,7.99,GL,1647664512
Bay,43.7334,-84.0166,39.25,96,100,21.0,US,1647664512
Las,49.7393,19.4295,31.91,59,0,5.01,PL,1647664512
Vestmannaeyjar,63.4427,-20.2734,40.6,96,100,6.4,IS,1647664513
Mogadishu,2.0371,45.3438,80.87,74,92,13.22,SO,1647664513
Kahului,20.8947,-156.47,77.02,70,0,19.57,US,1647664513
Iqaluit,63.7506,-68.5145,-15.07,70,75,5.75,CA,1647664513
New,6.6518,-10.5932,72.34,88,100,1.52,LR,1647664513
Shablykino,52.8566,35.1964,14.88,97,74,3.02,RU,1647664476
Nome,64.5011,-165.4064,3.27,66,0,26.46,US,1647664514
Tiksi,71.6872,128.8694,6.82,77,100,27.18,RU,1647664514
Ponta,38.7333,-28.2667,47.08,61,99,25.05,PT,1647664514
